datetime,text
2020-10-05 12:10:02,"Transfer-Ticker - Rudy verzichtet auf 3 Mio, um Schalke zu verlassen"
2020-10-05 09:35:03,Royals im News-Ticker - Prinz Harry ist &#034;geschädigt und selbstsüchtig&#034; – uncharmante Worte von der Ex
2020-10-05 13:50:01,ADAC-Pannenhelfer in Hamburg jetzt auch mit E-Bike unterwegs
2020-10-05 17:25:03,Senckenberg-Museum gräbt live: T-Rex und seine unbekannten Brüder
2020-10-05 04:00:01,WOCHENAUSBLICK: Trump-Infektion könnte Unsicherheit hoch halten
2020-10-05 13:50:02,Architekt Terunobu Fujimori baut wie in der Bronzezeit
2020-10-05 07:15:02,Gerhard Polt kritisiert Begriff «systemrelevant»
2020-10-05 09:10:01,Prozess in München: Patient muss für missglückte Augen-OP nicht zahlen
2020-10-05 18:00:02,Alle Sommer-Transfers im Überblick - Die Zu- und Abgänge der 18 Klubs
2020-10-05 17:05:03,Reform der Pflegeversicherung: Keine falschen Hoffnungen
2020-10-05 11:40:07,Ruhm und Ablehnung: Jacques Offenbach zum 140. Todestag
2020-10-05 12:55:01,Russische Kunst im Potsdamer Museum Barberini
2020-10-05 08:50:02,"Nikosia begrüßt Abzug des türkischen Bohrschiffs ""Yavuz"""
2020-10-05 08:55:01,Schmuck-Beute bei mutmaßlichem Einbrecher-Duo gefunden
2020-10-05 13:00:03,Überraschende Wendung - GroKo-Krach beim Baugesetz:  Für Mieter verschärft sich die Wohnungsnot weiter
2020-10-05 13:20:01,Leserdiskussion: 24 Tage Homeoffice im Jahr - richtig so?
2020-10-05 13:05:01,Gleitschirmflieger bleibt bei Flugprüfung in Baum hängen
2020-10-05 03:35:03,Deutsche Einheit im Geschichtsunterricht: &quot;Viele Jugendliche wissen gar nichts über die DDR&quot;
2020-10-05 13:30:03,FC Liverpool: „Peinlich. Demütigend. Ungeschickt. Witzlos. Schwach. Elend.“
2020-10-05 06:10:02,Umfrage: 58 Prozent der jungen Frauen erleben Online-Gewalt
2020-10-05 15:00:01,Schwarzfahrer beschimpft Polizisten auf das Übelste
2020-10-05 12:05:02,Kinder von Auto angefahren: Neunjähriger schwer verletzt
2020-10-05 16:15:01,Stiftung: Leipzig sollte bei Einheitsdenkmal bedacht werden
2020-10-05 18:05:02,Für mehr Biss im Sturm - Preußen holt langen Zahn!
2020-10-05 19:00:02,USA: Trump: Werde Krankenhaus noch am Montag verlassen
2020-10-05 10:10:01,Im Saarland bislang drei Geldautomatensprengungen in 2020
